total_meetings,lead_score,customer_sentiment,buying_intent,relationship_strength,budget_status,decision_maker_involvement,customer_urgency,product_interest_level,meeting_outcome,competitor_mention,engagement_score,implementation_readiness,upsell_opportunity,deal_score,objection_budget_not_allocated,objection_competitor_preference,objection_lack_of_internal_buy_in,objection_long_implementation_time,objection_missing_features,objection_no_urgent_business_need,objection_poor_past_experience_support,objection_price_too_high,objection_security_compliance_concerns,objection_unfavorable_contract_terms,num_objections,customer_requirements_API / Technical Integration,customer_requirements_Basic Feature Set,customer_requirements_Compliance-driven Requirements,customer_requirements_Customized Integration,customer_requirements_Enterprise-grade Security,customer_requirements_Multi-department Rollout,customer_requirements_Scalable Infrastructure,customer_requirements_Standard Package,risk_factors_Budget Constraints,risk_factors_Competitor Pressure,risk_factors_Economic Uncertainty,risk_factors_Internal Politics,risk_factors_No Risk Identified,risk_factors_Stakeholder Turnover,risk_factors_Technical Concerns,risk_factors_Timeline Conflict
5,52.8,2,3,10,0,2,2,2,2,0,0.3082474226804124,0,0,39,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5,19.7,1,3,2,0,0,2,3,2,0,0.6402061855670103,2,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5,77.7,2,3,8,2,1,2,4,4,0,0.5917525773195875,2,1,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,21.7,0,2,4,0,1,3,1,2,0,0.3247422680412371,3,1,31,0,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5,96.8,2,3,8,3,1,4,1,1,1,0.11134020618556702,3,0,55,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
7,6.6,2,2,5,1,2,4,1,3,0,0.5587628865979382,0,1,37,1,0,0,1,0,0,0,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5,84.5,0,3,2,2,0,3,4,2,1,0.4175257731958763,2,1,46,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
7,57.9,1,2,10,3,2,1,2,3,0,0.6,3,0,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,8.4,0,1,3,1,0,1,1,1,0,0.931958762886598,0,0,35,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,51.0,0,2,2,1,0,2,2,0,0,0.007216494845360827,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,36.8,2,1,8,2,2,2,2,3,0,0.9989690721649483,2,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,3.4,0,1,3,0,0,3,1,0,1,0.34123711340206186,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2,16.5,2,2,10,3,2,2,3,2,0,0.11030927835051545,3,0,56,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,93.7,1,3,7,3,1,1,4,2,0,0.38969072164948454,2,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,58.0,2,3,6,3,2,3,3,3,0,0.6144329896907216,3,1,86,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,40.1,1,2,2,1,0,4,1,1,0,0.09587628865979382,3,0,45,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,96.3,0,3,3,2,0,2,4,1,1,0.37010309278350517,3,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,43.5,0,3,2,1,0,4,4,1,0,0.8484536082474226,2,0,51,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,56.5,1,1,9,1,1,3,2,2,0,0.1175257731958763,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8,73.6,2,2,8,2,2,2,3,4,0,0.42474226804123716,3,0,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,49.8,1,1,7,0,1,1,3,3,0,0.7257731958762886,1,0,36,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,94.1,1,3,2,2,1,2,4,2,0,0.03711340206185566,2,1,59,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
9,24.4,2,1,5,0,1,4,2,2,0,0.1690721649484536,0,0,23,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4,29.2,0,1,1,2,1,1,2,2,0,0.13711340206185565,1,0,45,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,77.1,2,3,3,3,1,4,1,1,0,0.39793814432989694,3,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8,20.3,0,1,3,2,1,1,1,3,0,0.9979381443298968,0,0,44,0,0,0,1,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6,49.1,0,1,7,2,1,1,3,4,1,0.2443298969072165,3,0,46,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6,8.1,1,3,6,0,1,3,2,2,0,0.7525773195876289,3,0,37,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8,54.7,0,1,5,3,0,1,4,2,0,0.37938144329896906,3,1,49,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,97.7,0,3,3,3,1,2,4,4,0,0.13298969072164948,1,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6,10.2,1,1,4,2,1,2,1,0,0,0.6154639175257732,2,0,42,0,0,1,0,1,1,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6,97.8,1,1,5,3,1,2,1,4,0,0.8711340206185566,0,0,51,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,87.0,2,3,5,3,2,4,4,2,0,0.6742268041237114,1,0,77,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,22.9,0,1,3,1,1,2,2,2,1,0.7999999999999999,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,61.9,2,2,6,2,0,3,4,3,0,0.6608247422680411,2,0,55,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5,31.4,2,3,6,0,2,3,2,3,0,0.38865979381443305,0,0,36,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,19.8,1,3,2,1,0,3,3,3,0,0.9350515463917526,2,1,40,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3,44.5,0,3,2,1,0,1,4,1,0,0.20824742268041235,0,1,30,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7,63.5,1,1,8,1,2,2,2,3,0,0.6793814432989691,3,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4,16.3,0,3,7,0,0,4,1,2,1,0.14329896907216494,2,0,33,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8,5.9,1,3,3,2,0,2,2,1,0,0.9309278350515463,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,73.5,1,3,4,3,2,3,2,1,0,0.9463917525773196,3,1,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,75.1,0,1,1,1,0,2,1,0,0,0.443298969072165,1,1,34,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,58.6,2,1,5,3,2,1,1,1,0,0.015463917525773193,0,0,39,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11,88.0,2,3,9,2,1,4,2,4,1,0.9329896907216494,0,0,66,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,55.3,2,1,8,1,1,1,1,2,0,0.7628865979381443,0,1,30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6,12.4,1,3,4,1,0,3,3,2,0,0.11958762886597939,1,1,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,80.9,2,2,9,1,2,2,1,4,1,0.7536082474226803,2,0,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,21.5,2,3,9,1,1,4,2,3,0,0.07113402061855671,2,1,50,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,25.3,2,3,5,1,1,3,4,3,0,0.5546391752577319,0,1,50,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,84.3,1,3,5,2,2,4,4,3,1,0.9742268041237113,1,1,56,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9,13.0,2,2,9,1,2,3,2,1,1,0.8278350515463917,3,0,47,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
7,78.6,2,1,7,1,1,1,2,4,1,0.6989690721649484,0,1,37,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,28.4,1,1,5,0,0,2,1,3,0,0.979381443298969,2,0,42,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
11,81.0,2,3,5,3,1,4,3,2,0,0.19999999999999998,3,0,60,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
6,20.9,2,1,8,0,1,1,4,3,0,0.2876288659793814,1,0,44,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,27.7,1,1,6,2,1,1,2,2,0,0.7824742268041237,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,17.4,2,1,10,0,2,3,1,3,0,0.9804123711340206,3,0,33,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12,78.0,0,2,7,3,1,3,2,2,0,0.30927835051546393,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5,36.6,2,1,5,1,1,2,2,1,0,0.6216494845360824,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,76.0,1,3,5,1,2,4,3,0,0,0.2051546391752577,2,1,45,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
9,49.7,0,1,3,0,0,1,2,3,1,0.4752577319587629,0,0,16,0,1,0,1,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
8,44.0,1,3,7,3,1,4,2,1,1,0.6505154639175257,0,1,52,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,42.4,0,2,2,0,0,1,2,2,0,0.49072164948453606,0,0,32,1,0,0,1,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,46.2,2,2,8,1,1,4,1,2,0,0.27113402061855674,3,0,51,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,35.6,2,2,5,3,2,3,2,2,0,0.03608247422680412,1,1,61,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
8,72.6,2,2,6,0,1,3,2,2,0,0.6381443298969072,3,0,38,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,15.9,1,1,5,3,0,1,2,1,0,0.28969072164948456,1,0,32,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,39.0,0,2,1,0,0,2,3,0,1,0.12164948453608247,3,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4,82.5,2,2,8,2,2,2,3,2,1,0.03917525773195876,3,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5,84.8,2,3,9,2,2,2,4,4,0,0.9340206185567009,0,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5,86.7,1,2,6,1,0,3,3,2,0,0.1845360824742268,0,0,30,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
7,14.9,2,1,9,0,2,1,2,3,0,0.8670103092783504,0,1,63,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,68.2,1,3,6,2,2,3,4,3,0,0.7123711340206185,3,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9,11.7,1,3,4,0,0,4,3,3,0,0.8041237113402061,2,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,89.0,2,3,6,2,1,2,3,2,0,0.5,3,0,61,0,0,1,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,79.2,1,1,2,0,2,1,2,0,0,0.3556701030927835,0,0,36,1,0,0,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,10.4,1,2,4,0,1,2,2,2,0,0.35670103092783506,3,0,52,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,94.5,2,2,10,2,2,2,3,4,1,0.9216494845360825,3,0,77,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
6,55.2,0,3,1,3,1,4,3,1,0,0.059793814432989686,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,72.9,0,2,1,2,0,2,3,0,0,0.3597938144329897,1,0,36,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,48.8,1,2,9,2,2,3,2,3,0,0.5412371134020618,1,1,64,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,7.1,1,1,3,1,2,1,2,1,1,0.24536082474226803,0,0,34,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5,5.8,1,2,6,3,2,3,3,1,0,0.5484536082474226,3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7,95.4,2,3,7,3,1,2,4,4,1,0.9969072164948453,3,0,71,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,92.2,2,1,10,0,2,1,3,3,1,0.9422680412371134,2,1,49,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
9,48.5,2,3,6,2,2,3,1,4,0,0.5876288659793814,1,0,58,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,19.6,0,1,7,0,0,1,2,0,0,0.8092783505154638,3,0,38,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
11,49.4,2,2,10,3,2,3,1,4,0,0.9752577319587628,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,45.6,0,3,2,0,0,4,3,2,1,0.4742268041237114,2,1,26,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,93.0,2,1,10,2,2,1,4,4,0,0.8010309278350515,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,68.3,1,1,8,3,2,1,1,1,0,0.7360824742268042,3,0,66,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
12,87.8,2,2,10,3,2,2,2,4,1,0.9773195876288658,1,0,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,11.2,2,1,8,1,1,1,2,2,1,0.48556701030927835,2,0,36,0,0,1,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,22.1,1,3,3,1,1,3,4,3,0,0.04329896907216495,0,0,43,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,94.8,2,1,9,2,2,2,2,4,0,0.647422680412371,0,1,64,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,62.9,0,2,3,2,0,3,2,1,1,0.019587628865979378,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,65.6,1,1,7,1,0,3,1,3,0,0.322680412371134,3,1,45,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
9,33.3,2,3,8,0,1,3,3,3,0,0.39999999999999997,0,0,38,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,4.9,2,2,7,0,2,4,1,1,0,0.5690721649484536,2,0,28,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,27.3,2,3,9,3,2,3,4,4,0,0.7835051546391752,2,1,93,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,27.4,1,2,5,2,0,3,4,1,1,0.9525773195876289,1,1,45,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
11,59.4,2,3,6,0,1,2,2,3,1,0.8608247422680412,2,0,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8,87.5,2,1,9,0,0,3,1,3,1,0.8030927835051547,0,1,29,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
7,13.1,2,1,10,0,2,2,1,2,0,0.1865979381443299,1,0,45,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4,33.1,2,2,4,2,2,4,2,3,1,0.1958762886597938,1,0,46,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6,27.6,1,3,6,0,0,2,3,3,0,0.9278350515463917,1,0,25,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4,69.8,2,3,4,0,1,4,3,3,0,0.7051546391752578,1,1,27,0,0,1,1,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,93.1,1,3,6,2,1,3,4,4,0,0.8886597938144329,1,0,61,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,71.0,1,3,4,0,2,2,2,3,0,0.40103092783505156,1,1,45,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,26.5,2,2,10,1,2,3,3,4,0,0.9092783505154639,1,1,52,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,8.3,1,3,6,2,1,4,1,3,1,0.6927835051546392,2,1,58,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,40.8,2,2,9,0,1,1,1,3,0,0.22577319587628863,1,0,33,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
9,11.9,2,1,9,0,1,2,1,3,0,0.16597938144329896,2,0,37,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
6,96.9,0,3,5,2,0,1,4,3,0,0.2958762886597938,1,1,56,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,38.9,2,2,8,2,1,2,3,4,0,0.8618556701030927,0,1,67,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,64.4,0,1,5,1,0,1,3,3,0,0.5670103092783505,1,1,46,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9,67.6,0,2,2,2,2,3,3,2,0,0.9175257731958762,1,1,59,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6,45.4,1,2,3,0,1,1,2,2,0,0.7144329896907216,0,0,36,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,10.1,0,2,2,3,1,3,1,3,0,0.8649484536082475,3,0,50,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,71.8,2,2,9,3,2,4,1,2,0,0.20103092783505153,3,0,68,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6,60.1,2,3,8,3,2,2,4,3,0,0.9855670103092783,0,0,67,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,38.2,2,3,9,3,2,3,1,4,0,0.7969072164948453,3,0,92,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6,29.8,1,1,5,2,0,2,3,1,1,0.0134020618556701,0,0,28,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10,98.0,1,3,4,3,2,4,3,4,0,0.5505154639175257,0,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
8,38.5,0,1,5,0,0,2,3,3,0,0.7134020618556701,2,0,36,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,27.1,1,2,4,0,0,2,1,1,0,0.24639175257731957,0,1,31,1,0,0,1,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6,88.8,2,3,9,1,2,2,4,4,0,0.8463917525773195,0,0,65,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,35.4,0,2,1,2,0,3,3,0,0,0.1247422680412371,2,1,42,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4,31.2,1,3,6,0,1,2,4,1,1,0.5938144329896907,3,1,50,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9,34.3,1,1,6,0,0,1,2,2,0,0.9412371134020617,0,1,23,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
9,47.8,1,1,8,2,1,4,1,3,0,0.7938144329896907,0,0,49,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4,56.7,0,2,6,2,1,1,2,3,0,0.6628865979381442,2,1,49,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,33.5,2,2,8,1,2,1,3,2,0,0.15979381443298968,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,61.2,1,3,5,3,1,3,3,1,0,0.15051546391752577,3,1,57,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,50.8,0,3,7,3,2,2,2,1,0,0.9917525773195875,0,1,62,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,8.7,0,1,7,0,0,1,1,3,1,0.7515463917525773,0,0,17,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4,80.7,0,1,2,3,1,1,1,0,0,0.6247422680412371,1,0,29,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6,62.8,0,1,5,2,1,2,1,0,0,0.38247422680412374,1,0,47,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,69.0,2,2,9,3,2,1,2,4,0,0.9886597938144329,2,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2,59.6,0,3,3,1,0,3,3,2,0,0.5556701030927834,3,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8,83.8,2,1,4,1,1,3,2,4,0,0.6814432989690721,0,0,48,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3,21.8,2,2,7,0,0,1,2,1,0,0.14020618556701028,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,88.1,2,2,7,3,1,2,3,1,0,0.9123711340206185,0,1,51,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,3.0,2,1,6,0,2,1,1,1,0,0.377319587628866,1,0,36,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
